Transaction ID,Date,Time,Items Purchased,Quantities,Total Price (INR),Payment Method
2113,2023-06-10,09:15,"Chocolate Fudge Cake, Soy Milk","1, 1",290,Card
2114,2023-06-13,10:23,"Cheesecake, Lemon Tart","1, 2",820,Card
2115,2023-05-15,08:04,"Iced Tea (Peach), Vanilla Syrup","1, 1",140,UPI
2116,2023-01-16,12:26,"Hot Chocolate, Espresso","2, 1",380,Card
2117,2023-06-23,12:16,Espresso,1,100,Mobile Wallet
2118,2023-11-12,17:30,"Cappuccino, Latte","1, 2",490,Mobile Wallet
2119,2023-06-01,15:05,"Seasonal Smoothie, Quinoa Bowl, Club Sandwich","1, 2, 1",830,Mobile Wallet
2120,2023-11-11,08:22,"Iced Americano, Strawberry Milkshake, Vanilla Syrup","2, 1, 1",460,Mobile Wallet
2121,2023-01-05,14:34,"Club Sandwich, Veggie Hummus Wrap, Greek Salad","2, 1, 2",1060,Cash
2122,2023-12-22,08:02,"Cappuccino, Fresh Lemonade, Green Tea, Almond Milk","2, 1, 1, 1",520,Card
2123,2023-06-26,19:25,"Chocolate Milkshake, Club Sandwich, Brownies","1, 1, 2",610,Mobile Wallet
2124,2023-02-22,20:57,"Seasonal Smoothie, Hot Chocolate, Chocolate Chip Cookies","2, 2, 2",780,Cash
2125,2023-04-16,12:46,"Hot Chocolate, Pancakes with Syrup","1, 2",640,Mobile Wallet
2126,2023-03-02,15:39,"Club Sandwich, Seasonal Smoothie, Lemon Tart","1, 2, 2",1040,UPI
2127,2023-07-16,19:52,Cheesecake,1,280,Mobile Wallet
2128,2023-01-07,18:18,"Avocado Toast, Iced Americano, Americano, Oat Milk","1, 2, 2, 1",780,Card
2129,2023-07-24,17:25,"Latte, Omelet","1, 1",370,Mobile Wallet
2130,2023-01-21,09:26,"Greek Salad, Avocado Toast, French Toast","2, 1, 2",1220,Mobile Wallet
2131,2023-09-03,20:18,"Chicken Caesar Wrap, Iced Americano, Grilled Cheese Sandwich","2, 2, 2",1060,Mobile Wallet
2132,2023-10-14,10:34,"Club Sandwich, Bagel with Cream Cheese, Almond Milk","1, 2, 1",680,Mobile Wallet
2133,2023-12-12,08:53,"Nitro Cold Brew, Lemon Tart, Soy Milk","1, 1, 1",490,Card
2134,2023-12-27,12:15,"Seasonal Smoothie, Grilled Cheese Sandwich, Omelet","1, 1, 2",730,Cash
2135,2023-08-04,08:55,"Affogato, French Toast","1, 1",470,UPI
2136,2023-03-28,13:30,Greek Salad,2,440,UPI
2137,2023-12-06,11:49,"Cheesecake, Flat White","2, 1",720,UPI
2138,2023-06-26,09:37,"Americano, Avocado Toast","2, 1",480,Cash
2139,2023-09-25,11:29,"Veggie Hummus Wrap, Quinoa Bowl, Almond Milk","1, 1, 1",500,UPI
2140,2023-06-27,13:13,Quinoa Bowl,2,480,Mobile Wallet
2141,2023-05-31,12:59,"Caesar Salad, Bagel with Cream Cheese","1, 2",660,UPI
2142,2023-01-05,10:05,"Chocolate Chip Cookies, Almond Milk","1, 1",140,Card
2143,2023-03-28,09:03,"Chocolate Milkshake, Cappuccino","1, 1",320,Mobile Wallet
2144,2023-02-04,16:23,"Brownies, Lemon Tart, Soy Milk","2, 1, 1",550,UPI
2145,2023-02-15,14:59,French Toast,1,270,Card
2146,2023-10-19,09:29,"Grilled Cheese Sandwich, Iced Americano, Omelet, Soy Milk","1, 2, 1, 1",680,Cash
2147,2023-04-18,12:06,"Strawberry Milkshake, Hot Chocolate, Chocolate Chip Cookies, Vanilla Syrup","2, 1, 1, 1",610,Mobile Wallet
2148,2023-06-26,18:59,"Cold Brew, Quinoa Bowl","2, 2",780,Mobile Wallet
2149,2023-10-10,19:45,"Avocado Toast, Greek Salad, Veggie Hummus Wrap","2, 1, 2",1140,Card
2150,2023-11-22,13:16,Club Sandwich,2,400,UPI
2151,2023-06-25,17:15,"Cappuccino, Quinoa Bowl, Latte, Soy Milk","1, 1, 1, 1",600,Card
2152,2023-08-09,19:32,"Cold Brew, Chocolate Fudge Cake, Caramel Drizzle","2, 2, 1",850,UPI
2153,2023-04-07,09:18,"French Toast, Grilled Cheese Sandwich, Hot Chocolate","2, 1, 1",860,Card
2154,2023-03-21,13:07,"Vanilla Milkshake, Iced Americano, Green Tea","2, 1, 2",630,UPI
2155,2023-09-24,09:07,"Matcha Latte, Iced Tea (Peach)","2, 1",430,UPI
2156,2023-05-09,09:59,"Fresh Lemonade, Chocolate Milkshake","2, 2",540,Cash
2157,2023-06-02,19:49,"Club Sandwich, Matcha Latte, Hot Chocolate","2, 2, 2",1000,Card
2158,2023-01-28,12:12,Fresh Lemonade,2,200,Card
2159,2023-01-15,16:36,"Matcha Latte, Latte","1, 1",330,Mobile Wallet
2160,2023-06-11,19:33,"Latte, Omelet, Nitro Cold Brew","2, 1, 2",900,Card
2161,2023-09-23,09:05,"Omelet, Mocha, Mocha","1, 1, 1",560,Cash
2162,2023-11-13,19:40,"Caesar Salad, Oat Milk","2, 1",480,Card
2163,2023-05-30,16:11,"Fresh Lemonade, Oat Milk","1, 1",140,UPI
2164,2023-07-24,16:06,"Chicken Caesar Wrap, Club Sandwich, Caramel Drizzle","1, 2, 1",670,Mobile Wallet
2165,2023-06-16,18:32,Brownies,2,240,Cash
2166,2023-11-05,17:41,"Caesar Salad, Brownies, Americano, Almond Milk","2, 2, 1, 1",840,Card
2167,2023-07-05,10:10,"Americano, Chocolate Milkshake","2, 2",580,UPI
2168,2023-04-07,20:39,"Lemon Tart, Pancakes with Syrup, Oat Milk","2, 2, 1",1080,Cash
2169,2023-07-16,20:41,"Nitro Cold Brew, Fresh Lemonade","1, 1",280,Mobile Wallet
2170,2023-03-01,11:14,"Cappuccino, Chocolate Fudge Cake, Nitro Cold Brew","1, 1, 2",760,Cash
2171,2023-11-07,13:24,Mocha,2,360,UPI
2172,2023-01-03,08:45,"Chocolate Chip Cookies, Cheesecake","2, 2",760,UPI
2173,2023-04-27,16:07,"Club Sandwich, Chocolate Chip Cookies, Veggie Hummus Wrap, Almond Milk","1, 2, 1, 1",660,UPI
2174,2023-03-25,13:31,"Club Sandwich, Avocado Toast, Cheesecake, Caramel Drizzle","2, 2, 2, 1",1490,Cash
2175,2023-05-27,20:36,"Chocolate Fudge Cake, Iced Americano, Almond Milk","2, 1, 1",670,Card
2176,2023-09-26,17:23,"Brownies, French Toast","1, 2",660,UPI
2177,2023-12-18,15:21,"Omelet, Bagel with Cream Cheese, Americano","1, 2, 2",880,UPI
2178,2023-09-21,13:40,"Omelet, Affogato","2, 2",800,Mobile Wallet
2179,2023-12-06,16:37,"Seasonal Smoothie, Espresso, Mocha","2, 2, 1",680,UPI
2180,2023-07-15,18:52,Chocolate Fudge Cake,1,250,Cash
2181,2023-08-13,18:10,"Caesar Salad, Soy Milk","1, 1",260,Mobile Wallet
2182,2023-06-14,20:24,"French Toast, Iced Americano","2, 1",670,Cash
2183,2023-11-21,16:32,"Lemon Tart, Almond Milk","2, 1",580,Cash
2184,2023-04-15,16:19,"Hot Chocolate, Iced Americano, Seasonal Smoothie, Almond Milk","2, 2, 1, 1",730,UPI
2185,2023-08-21,13:16,"Iced Americano, Vanilla Milkshake, Soy Milk","2, 1, 1",470,UPI
2186,2023-12-06,20:26,"Quinoa Bowl, Nitro Cold Brew","1, 1",420,Card
2187,2023-05-16,15:22,"Fresh Lemonade, Veggie Hummus Wrap","2, 1",420,Card
2188,2023-02-20,16:28,"Omelet, Grilled Cheese Sandwich","1, 2",560,Mobile Wallet
2189,2023-09-18,11:22,"Matcha Latte, Greek Salad, Chocolate Chip Cookies","2, 1, 1",640,Cash
2190,2023-10-11,14:56,"Chocolate Fudge Cake, Hot Chocolate, Oat Milk","1, 2, 1",570,Mobile Wallet
2191,2023-05-08,17:58,"Grilled Cheese Sandwich, Bagel with Cream Cheese, French Toast, Vanilla Syrup","1, 2, 1, 1",920,Card
2192,2023-03-22,08:34,"Avocado Toast, Chocolate Fudge Cake","2, 1",730,UPI
2193,2023-01-04,19:55,"Vanilla Milkshake, Espresso, Almond Milk","2, 2, 1",580,Mobile Wallet
2194,2023-06-12,20:24,Chocolate Chip Cookies,1,100,Cash
2195,2023-11-19,12:34,Cappuccino,1,150,Card
2196,2023-03-03,16:07,Strawberry Milkshake,1,170,Cash
2197,2023-01-27,10:23,"Strawberry Milkshake, Strawberry Milkshake","1, 1",340,UPI
2198,2023-10-28,19:12,"Fresh Lemonade, Green Tea, Caesar Salad, Soy Milk","2, 1, 2, 1",760,Mobile Wallet
2199,2023-09-02,17:38,"Cheesecake, Cheesecake, Chicken Caesar Wrap","2, 2, 2",1560,Card
2200,2023-08-06,17:06,"Omelet, Soy Milk","2, 1",440,UPI
2201,2023-11-25,20:37,"Cappuccino, Soy Milk","2, 1",340,UPI
2202,2023-07-24,16:57,"Chicken Caesar Wrap, Omelet, Bagel with Cream Cheese","2, 1, 1",860,UPI
2203,2023-06-27,19:13,"Chocolate Chip Cookies, Vanilla Syrup","2, 1",230,Mobile Wallet
2204,2023-07-19,16:57,"Brownies, Caesar Salad, Cheesecake","1, 1, 1",620,Cash
2205,2023-11-19,10:28,"Bagel with Cream Cheese, Vanilla Syrup","1, 1",250,UPI
2206,2023-12-27,16:59,"Mocha, Chocolate Fudge Cake, Grilled Cheese Sandwich","2, 2, 2",1220,Card
2207,2023-04-10,08:09,"Grilled Cheese Sandwich, Hot Chocolate, Soy Milk","1, 2, 1",500,Card
2208,2023-01-14,10:10,"Cheesecake, Lemon Tart, Latte","2, 1, 2",1170,Card
2209,2023-10-27,20:57,"Fresh Lemonade, Iced Americano, Chocolate Chip Cookies","2, 2, 1",560,Cash
2210,2023-06-04,09:41,"Cappuccino, Chocolate Chip Cookies, Chicken Caesar Wrap, Caramel Drizzle","2, 2, 1, 1",770,Mobile Wallet
2211,2023-10-31,09:38,"Omelet, Nitro Cold Brew, Almond Milk","2, 1, 1",620,UPI
2212,2023-05-17,10:11,"Latte, Veggie Hummus Wrap, Hot Chocolate","1, 1, 1",530,Cash
2213,2023-03-12,16:46,"French Toast, Avocado Toast, Pancakes with Syrup","2, 2, 2",1520,Mobile Wallet
2214,2023-06-27,08:09,Iced Americano,2,260,Card
2215,2023-11-12,15:05,"French Toast, Bagel with Cream Cheese, Chocolate Fudge Cake, Caramel Drizzle","2, 2, 2, 1",1530,UPI
2216,2023-11-15,19:09,"Chocolate Fudge Cake, Bagel with Cream Cheese, Caramel Drizzle","2, 2, 1",990,UPI
2217,2023-01-31,19:21,"Cheesecake, Soy Milk","2, 1",600,Mobile Wallet
2218,2023-06-12,15:42,"Hot Chocolate, Avocado Toast, Caramel Drizzle","1, 1, 1",430,Card
2219,2023-06-03,13:23,"Chicken Caesar Wrap, Brownies, Flat White, Vanilla Syrup","1, 2, 2, 1",810,Cash
2220,2023-12-29,09:22,"Hot Chocolate, Chicken Caesar Wrap, Hot Chocolate","2, 1, 1",640,UPI
2221,2023-12-28,20:45,Chocolate Fudge Cake,2,500,UPI
2222,2023-07-27,11:02,Nitro Cold Brew,2,360,UPI
2223,2023-01-03,19:48,Veggie Hummus Wrap,1,220,Cash
2224,2023-01-19,13:21,Matcha Latte,2,320,Cash
2225,2023-12-12,19:38,Iced Americano,1,130,Mobile Wallet
2226,2023-04-21,08:27,"Chocolate Fudge Cake, Mocha, Almond Milk","2, 2, 1",900,Cash
2227,2023-02-20,12:36,"French Toast, Brownies, Cappuccino, Soy Milk","2, 1, 1, 1",850,Card
2228,2023-01-16,12:44,"Caesar Salad, Bagel with Cream Cheese, Almond Milk","1, 1, 1",480,UPI
2229,2023-03-26,08:30,"Strawberry Milkshake, Soy Milk","1, 1",210,Mobile Wallet
2230,2023-08-10,17:53,"Brownies, Quinoa Bowl, Masala Chai, Soy Milk","2, 1, 1, 1",610,UPI
2231,2023-07-14,17:36,Affogato,1,200,Mobile Wallet
2232,2023-11-23,13:26,Brownies,1,120,UPI
2233,2023-02-14,11:54,Club Sandwich,1,200,Cash
2234,2023-12-17,12:25,"Veggie Hummus Wrap, Seasonal Smoothie","2, 2",740,Cash
2235,2023-02-05,20:20,"Chocolate Fudge Cake, Almond Milk","2, 1",540,Cash
2236,2023-04-18,19:10,"Flat White, Lemon Tart, Soy Milk","2, 1, 1",630,Card
2237,2023-09-20,15:00,"Pancakes with Syrup, Affogato","2, 2",900,Mobile Wallet
2238,2023-10-28,15:27,"Chocolate Fudge Cake, Almond Milk","1, 1",290,Card
2239,2023-12-06,19:24,"Lemon Tart, Cheesecake, Soy Milk","2, 2, 1",1140,Card
2240,2023-09-14,14:03,"Cheesecake, Masala Chai, Bagel with Cream Cheese","1, 2, 2",900,Cash
2241,2023-11-07,20:35,Nitro Cold Brew,2,360,Mobile Wallet
2242,2023-05-05,18:57,Bagel with Cream Cheese,1,220,UPI
2243,2023-06-20,16:57,"Veggie Hummus Wrap, Cappuccino, Brownies, Almond Milk","1, 2, 1, 1",680,Cash
2244,2023-08-24,08:07,"Strawberry Milkshake, Chocolate Chip Cookies","1, 1",270,Cash
2245,2023-07-28,17:54,"Chocolate Chip Cookies, Quinoa Bowl, Veggie Hummus Wrap, Soy Milk","1, 1, 1, 1",600,Cash
2246,2023-01-21,18:09,"Greek Salad, Oat Milk","2, 1",480,Cash
2247,2023-06-19,18:42,Bagel with Cream Cheese,2,440,Card
2248,2023-05-07,16:25,"Lemon Tart, Vanilla Milkshake, Avocado Toast","1, 1, 2",920,Mobile Wallet
2249,2023-04-22,13:35,"Quinoa Bowl, Oat Milk","2, 1",520,Mobile Wallet
2250,2023-09-09,12:26,"Omelet, Chocolate Milkshake","2, 2",740,Cash
2251,2023-07-30,16:52,"Espresso, Oat Milk","1, 1",140,Card
2252,2023-08-26,15:21,Brownies,2,240,Card
2253,2023-01-17,14:02,"Cheesecake, Vanilla Syrup","2, 1",590,Cash
2254,2023-06-01,14:29,"Strawberry Milkshake, Iced Tea (Peach), Veggie Hummus Wrap, Caramel Drizzle","2, 1, 1, 1",720,Cash
2255,2023-10-01,17:08,"Iced Americano, Masala Chai, Avocado Toast","1, 1, 2",700,UPI
2256,2023-10-13,18:39,"Grilled Cheese Sandwich, Oat Milk","1, 1",220,Card
2257,2023-01-11,09:25,"Cold Brew, Grilled Cheese Sandwich, Cold Brew, Vanilla Syrup","1, 1, 2, 1",660,Card
2258,2023-01-30,20:11,"Hot Chocolate, Caramel Drizzle","1, 1",190,UPI
2259,2023-08-15,09:50,"Cappuccino, Seasonal Smoothie, Cappuccino, Oat Milk","1, 1, 2, 1",640,Cash
2260,2023-05-26,20:12,"Pancakes with Syrup, Cheesecake, Vanilla Syrup","1, 2, 1",840,Mobile Wallet
2261,2023-01-21,09:30,"Brownies, Caramel Drizzle","2, 1",290,Mobile Wallet
2262,2023-01-17,08:13,"Matcha Latte, Bagel with Cream Cheese, Cappuccino, Oat Milk","1, 2, 2, 1",940,Mobile Wallet
2263,2023-06-19,10:45,"Pancakes with Syrup, Nitro Cold Brew, Cappuccino, Caramel Drizzle","1, 1, 2, 1",780,Cash
2264,2023-06-08,09:31,"Avocado Toast, Grilled Cheese Sandwich, Club Sandwich, Caramel Drizzle","2, 2, 2, 1",1290,Cash
2265,2023-10-14,10:51,"Avocado Toast, Seasonal Smoothie, Soy Milk","2, 2, 1",820,Mobile Wallet
2266,2023-03-06,09:26,"Affogato, Oat Milk","2, 1",440,Cash
2267,2023-04-22,10:12,Omelet,2,400,Card
2268,2023-10-09,20:07,"Iced Tea (Peach), Avocado Toast, Soy Milk","2, 2, 1",740,UPI
2269,2023-06-22,08:39,Strawberry Milkshake,1,170,Mobile Wallet
2270,2023-07-01,20:07,"Brownies, Bagel with Cream Cheese","1, 1",340,Mobile Wallet
2271,2023-01-28,09:14,"Matcha Latte, Vanilla Syrup","1, 1",190,Mobile Wallet
2272,2023-12-01,08:59,"Avocado Toast, Pancakes with Syrup","1, 2",740,Card
2273,2023-03-13,14:01,"Seasonal Smoothie, Green Tea, Bagel with Cream Cheese, Soy Milk","1, 2, 2, 1",790,Cash
2274,2023-01-06,13:31,"Matcha Latte, Club Sandwich, Cheesecake","2, 1, 1",800,UPI
2275,2023-10-30,14:13,Masala Chai,1,90,Card
2276,2023-11-20,09:46,"Brownies, Soy Milk","2, 1",280,Mobile Wallet
2277,2023-05-13,16:51,"Veggie Hummus Wrap, Chocolate Milkshake, Green Tea","1, 2, 2",720,UPI
2278,2023-11-30,18:07,"Affogato, Caramel Drizzle","2, 1",450,UPI
2279,2023-08-12,18:47,"Fresh Lemonade, Iced Tea (Peach), Caramel Drizzle","2, 1, 1",360,Mobile Wallet
2280,2023-05-02,09:18,"Strawberry Milkshake, Masala Chai, Brownies, Almond Milk","2, 2, 1, 1",680,Card
2281,2023-06-12,10:42,"French Toast, Mocha, Soy Milk","1, 1, 1",490,Cash
2282,2023-01-23,16:47,"Seasonal Smoothie, Americano","2, 1",420,UPI
2283,2023-10-29,12:40,"French Toast, Quinoa Bowl, Omelet, Almond Milk","2, 1, 2, 1",1220,UPI
2284,2023-06-03,16:00,"Strawberry Milkshake, Matcha Latte, Lemon Tart, Oat Milk","2, 2, 1, 1",970,Mobile Wallet
2285,2023-08-01,11:36,"Flat White, Green Tea, Hot Chocolate","1, 1, 1",380,Card
2286,2023-07-18,12:07,"French Toast, Chocolate Fudge Cake","1, 2",770,Cash
2287,2023-01-18,18:47,"Chocolate Chip Cookies, Cheesecake, Matcha Latte, Almond Milk","2, 2, 1, 1",960,Cash
2288,2023-12-12,14:13,"Espresso, Brownies, Espresso, Oat Milk","1, 1, 1, 1",360,Mobile Wallet
2289,2023-12-27,10:41,"Chocolate Fudge Cake, Vanilla Syrup","1, 1",280,Mobile Wallet
2290,2023-03-02,11:52,"Espresso, Brownies, Chocolate Chip Cookies","2, 1, 2",520,Cash
2291,2023-08-06,15:48,"Quinoa Bowl, Espresso, Veggie Hummus Wrap, Almond Milk","2, 2, 2, 1",1160,UPI
2292,2023-07-05,14:50,"Latte, Soy Milk","2, 1",380,Card
2293,2023-03-01,13:50,"Quinoa Bowl, Matcha Latte","2, 2",800,Mobile Wallet
2294,2023-05-27,08:19,Veggie Hummus Wrap,1,220,Card
2295,2023-09-13,09:05,"Avocado Toast, Almond Milk","1, 1",280,Mobile Wallet
2296,2023-01-31,17:33,"Chocolate Fudge Cake, Affogato, Bagel with Cream Cheese, Caramel Drizzle","2, 1, 2, 1",1190,Cash
2297,2023-10-29,12:33,"Pancakes with Syrup, Masala Chai, Oat Milk","1, 2, 1",470,Cash
2298,2023-02-22,13:23,"Caesar Salad, Brownies, Omelet, Oat Milk","1, 2, 2, 1",900,Cash
2299,2023-12-20,15:43,Chicken Caesar Wrap,1,220,Card
2300,2023-03-31,09:22,"Iced Tea (Peach), Caramel Drizzle","1, 1",160,Cash
2301,2023-10-25,16:57,"French Toast, Chicken Caesar Wrap, Chocolate Fudge Cake, Oat Milk","2, 2, 2, 1",1520,Card
2302,2023-04-20,18:09,"Espresso, Vanilla Syrup","1, 1",130,Card
2303,2023-02-09,16:29,"Omelet, Cold Brew, Green Tea","2, 1, 2",710,UPI
2304,2023-11-05,10:38,"Flat White, Almond Milk","1, 1",200,Mobile Wallet
2305,2023-07-12,13:25,"Chocolate Chip Cookies, Oat Milk","1, 1",140,Cash
2306,2023-10-09,12:23,"Cold Brew, Vanilla Syrup","1, 1",180,Cash
2307,2023-10-08,12:46,"Club Sandwich, Espresso","2, 2",600,Cash
2308,2023-04-06,16:18,"Lemon Tart, Omelet","2, 2",940,Cash
2309,2023-06-14,16:33,"Brownies, Chocolate Chip Cookies","2, 2",440,Cash
2310,2023-02-05,15:44,"Matcha Latte, Caramel Drizzle","2, 1",370,Cash
2311,2023-12-22,18:43,"Avocado Toast, Mocha, Fresh Lemonade, Soy Milk","1, 2, 2, 1",840,Card
2312,2023-10-24,16:49,"Caesar Salad, Caramel Drizzle","1, 1",270,Mobile Wallet
2313,2023-02-10,10:13,"Affogato, Hot Chocolate, Caramel Drizzle","1, 1, 1",390,UPI
2314,2023-10-25,16:44,"Vanilla Milkshake, Quinoa Bowl, Soy Milk","1, 2, 1",690,UPI
2315,2023-11-28,08:51,Latte,1,170,UPI
2316,2023-02-19,14:47,"Iced Tea (Peach), Vanilla Syrup","1, 1",140,Cash
2317,2023-10-01,15:36,"Chocolate Fudge Cake, Caramel Drizzle","2, 1",550,Cash
2318,2023-07-14,15:47,"Greek Salad, Almond Milk","1, 1",260,Mobile Wallet
2319,2023-10-01,09:26,"Greek Salad, Chocolate Chip Cookies","1, 2",420,Mobile Wallet
2320,2023-04-14,08:15,"Espresso, Pancakes with Syrup, Fresh Lemonade","2, 2, 1",800,UPI
2321,2023-11-26,09:03,Lemon Tart,1,270,Card
2322,2023-12-08,12:26,Pancakes with Syrup,1,250,Card
2323,2023-09-01,17:49,"Chocolate Milkshake, Cheesecake, Strawberry Milkshake, Vanilla Syrup","1, 2, 1, 1",930,UPI
2324,2023-02-21,09:09,"Vanilla Milkshake, Green Tea, Lemon Tart","2, 2, 1",770,UPI
2325,2023-04-28,11:29,"Nitro Cold Brew, Avocado Toast, Chocolate Chip Cookies","1, 2, 2",860,Card
2326,2023-07-23,18:09,"Omelet, Omelet, Caramel Drizzle","2, 2, 1",850,Card
2327,2023-11-06,14:11,"Club Sandwich, Caramel Drizzle","2, 1",450,Card
2328,2023-08-02,10:19,"Grilled Cheese Sandwich, Caesar Salad, Brownies","2, 1, 1",700,Mobile Wallet
2329,2023-12-20,12:22,"Chocolate Milkshake, Veggie Hummus Wrap, Bagel with Cream Cheese, Soy Milk","2, 1, 1, 1",820,Card
2330,2023-05-22,12:33,"Chocolate Milkshake, Club Sandwich, Vanilla Syrup","1, 2, 1",600,UPI
2331,2023-03-16,19:03,"Brownies, Caramel Drizzle","2, 1",290,Mobile Wallet
2332,2023-10-14,09:21,"Chocolate Chip Cookies, Cold Brew","1, 2",400,Card
2333,2023-04-15,19:07,"Grilled Cheese Sandwich, Almond Milk","1, 1",220,Cash
2334,2023-03-21,19:23,"Quinoa Bowl, Greek Salad","1, 1",460,Card
2335,2023-06-28,13:13,"Chocolate Fudge Cake, Chocolate Chip Cookies, Caesar Salad","2, 2, 2",1140,Mobile Wallet
2336,2023-11-12,20:24,"Brownies, Chocolate Fudge Cake, Iced Tea (Peach), Oat Milk","2, 1, 2, 1",750,UPI
2337,2023-01-19,18:12,"Bagel with Cream Cheese, Soy Milk","2, 1",480,Cash
2338,2023-08-24,08:29,Chocolate Chip Cookies,2,200,Card
2339,2023-01-23,13:32,"Avocado Toast, Strawberry Milkshake, Oat Milk","2, 1, 1",690,Cash
2340,2023-10-25,08:51,"Pancakes with Syrup, Americano, Oat Milk","2, 1, 1",660,Card
2341,2023-09-07,18:24,"Hot Chocolate, Cold Brew, Vanilla Syrup","2, 1, 1",460,Mobile Wallet
2342,2023-03-31,12:31,"Avocado Toast, Chocolate Milkshake, Chocolate Fudge Cake","2, 1, 1",900,Cash
2343,2023-07-28,19:47,"Pancakes with Syrup, Vanilla Milkshake, Caramel Drizzle","1, 1, 1",470,Card
2344,2023-03-08,10:31,"Affogato, Cheesecake","2, 2",960,Card
2345,2023-12-23,18:51,"Strawberry Milkshake, Grilled Cheese Sandwich, Soy Milk","2, 1, 1",560,Cash
2346,2023-07-22,13:58,"Vanilla Milkshake, Masala Chai, Vanilla Syrup","2, 1, 1",460,UPI
2347,2023-09-01,08:16,"Pancakes with Syrup, Club Sandwich, Quinoa Bowl, Soy Milk","1, 1, 2, 1",970,Card
2348,2023-09-09,13:53,"Quinoa Bowl, Hot Chocolate","2, 1",620,UPI
2349,2023-04-02,13:31,"Americano, Hot Chocolate, Chocolate Milkshake, Almond Milk","1, 1, 1, 1",470,UPI
2350,2023-02-13,15:53,Cold Brew,1,150,Card
2351,2023-01-28,16:12,"Chocolate Fudge Cake, Soy Milk","1, 1",290,Cash
2352,2023-02-17,11:32,"Fresh Lemonade, Oat Milk","1, 1",140,Cash
2353,2023-10-18,08:03,"Americano, French Toast, Soy Milk","1, 2, 1",700,Card
2354,2023-09-05,08:31,"Cheesecake, Fresh Lemonade, Lemon Tart, Vanilla Syrup","1, 1, 2, 1",950,Cash
2355,2023-04-28,20:41,"Avocado Toast, Strawberry Milkshake, Avocado Toast","1, 2, 1",820,Card
2356,2023-06-29,14:27,"Bagel with Cream Cheese, Lemon Tart, Soy Milk","1, 1, 1",530,UPI
2357,2023-10-25,16:36,"Pancakes with Syrup, Caramel Drizzle","1, 1",300,UPI
2358,2023-04-11,11:21,"Lemon Tart, Lemon Tart, Bagel with Cream Cheese","1, 2, 1",1030,UPI
2359,2023-12-03,17:25,"Greek Salad, Chocolate Milkshake, Vanilla Syrup","2, 2, 1",810,Cash
2360,2023-04-06,20:12,"Pancakes with Syrup, Pancakes with Syrup, Iced Tea (Peach), Vanilla Syrup","1, 2, 1, 1",890,Cash
2361,2023-12-01,10:35,"Grilled Cheese Sandwich, Chocolate Fudge Cake","2, 1",610,Cash
2362,2023-11-10,16:37,"Omelet, Latte, Nitro Cold Brew","1, 1, 2",730,Cash
2363,2023-07-11,14:20,"Strawberry Milkshake, Omelet","2, 1",540,Cash
2364,2023-06-04,20:15,"Chocolate Milkshake, Soy Milk","2, 1",380,Mobile Wallet
2365,2023-09-30,11:20,"Pancakes with Syrup, Vanilla Syrup","2, 1",530,UPI
2366,2023-01-09,19:04,"Brownies, Latte, Pancakes with Syrup, Vanilla Syrup","2, 1, 1, 1",690,Cash
2367,2023-11-20,13:36,"Avocado Toast, Vanilla Syrup","1, 1",270,UPI
2368,2023-07-11,20:36,"Brownies, Brownies, Soy Milk","2, 1, 1",400,Card
2369,2023-03-07,13:56,Cold Brew,2,300,Card
2370,2023-10-04,15:03,Affogato,1,200,Mobile Wallet
2371,2023-06-29,14:41,"Fresh Lemonade, Matcha Latte, Fresh Lemonade, Vanilla Syrup","1, 2, 1, 1",550,UPI
2372,2023-01-28,18:45,"Nitro Cold Brew, Pancakes with Syrup, Affogato","2, 2, 1",1060,Mobile Wallet
2373,2023-08-18,15:41,Chocolate Chip Cookies,1,100,Card
2374,2023-02-25,19:14,Club Sandwich,1,200,Card
2375,2023-03-17,09:17,"Lemon Tart, Hot Chocolate, Avocado Toast, Vanilla Syrup","1, 2, 2, 1",1060,Mobile Wallet
2376,2023-03-12,12:07,"Bagel with Cream Cheese, Fresh Lemonade","1, 1",320,Mobile Wallet
2377,2023-12-18,19:00,Affogato,2,400,UPI
2378,2023-12-23,20:30,"Chocolate Milkshake, Avocado Toast, Brownies","1, 1, 2",650,UPI
2379,2023-06-04,13:20,"Grilled Cheese Sandwich, Lemon Tart","2, 1",630,Cash
2380,2023-10-13,16:36,"Mocha, Omelet, Omelet, Caramel Drizzle","1, 2, 2, 1",1030,Card
2381,2023-03-29,13:06,"Green Tea, Avocado Toast, Oat Milk","2, 1, 1",440,Card
2382,2023-11-18,11:41,"Espresso, Club Sandwich, Almond Milk","2, 1, 1",440,Cash
2383,2023-07-31,15:31,"Lemon Tart, Pancakes with Syrup, Avocado Toast, Oat Milk","2, 2, 1, 1",1320,Mobile Wallet
2384,2023-11-21,11:15,Club Sandwich,2,400,Card
2385,2023-05-17,17:27,"Bagel with Cream Cheese, Vanilla Milkshake, Chocolate Chip Cookies, Vanilla Syrup","1, 1, 2, 1",620,UPI
2386,2023-07-07,20:09,"Iced Americano, French Toast, Chocolate Chip Cookies","1, 2, 1",770,UPI
2387,2023-02-19,15:48,"Strawberry Milkshake, Cold Brew, Chocolate Fudge Cake","2, 1, 2",990,Cash
2388,2023-01-27,08:31,Veggie Hummus Wrap,2,440,Card
2389,2023-06-20,14:22,"French Toast, Lemon Tart, Vanilla Syrup","2, 1, 1",840,Cash
2390,2023-11-10,11:06,"Mocha, Bagel with Cream Cheese","2, 2",800,UPI
